{'index': 0, 'entNoMidRatio': 1.0}
{'index': 1, 'entNoMidRatio': 0.0}
{'index': 2, 'entNoMidRatio': 0.8571428571428571}
{'index': 3, 'entNoMidRatio': 0.42857142857142855}
{'index': 4, 'entNoMidRatio': 0.0}
{'index': 5, 'entNoMidRatio': 0.0}
{'index': 6, 'entNoMidRatio': 0.8333333333333334}
{'index': 7, 'entNoMidRatio': 0.7142857142857143}
{'index': 8, 'entNoMidRatio': 0.42857142857142855}
{'index': 10, 'entNoMidRatio': 0.42857142857142855}
{'index': 11, 'entNoMidRatio': 0.0}
{'index': 12, 'entNoMidRatio': 1.0}
{'index': 13, 'entNoMidRatio': 0.2857142857142857}
{'index': 14, 'entNoMidRatio': 0.14285714285714285}
{'index': 15, 'entNoMidRatio': 0.5714285714285714}
{'index': 16, 'entNoMidRatio': 0.42857142857142855}
{'index': 17, 'entNoMidRatio': 0.2857142857142857}
{'index': 18, 'entNoMidRatio': 0.9}
{'index': 19, 'entNoMidRatio': 0.2857142857142857}
{'index': 21, 'entNoMidRatio': 0.5}
{'index': 23, 'entNoMidRatio': 1.0}
{'index': 24, 'entNoMidRatio': 0.0}
{'index': 26, 'entNoMidRatio': 0.0}
{'index': 27, 'entNoMidRatio': 0.0}
{'index': 28, 'entNoMidRatio': 1.0}
{'index': 29, 'entNoMidRatio': 0.5714285714285714}
{'index': 30, 'entNoMidRatio': 0.0}
{'index': 31, 'entNoMidRatio': 0.7142857142857143}
{'index': 33, 'entNoMidRatio': 1.0}
{'index': 34, 'entNoMidRatio': 0.5}
{'index': 35, 'entNoMidRatio': 0.14285714285714285}
{'index': 36, 'entNoMidRatio': 0.42857142857142855}
{'index': 37, 'entNoMidRatio': 0.14285714285714285}
{'index': 38, 'entNoMidRatio': 0.0}
{'index': 39, 'entNoMidRatio': 0.3333333333333333}
{'index': 40, 'entNoMidRatio': 0.0}
{'index': 41, 'entNoMidRatio': 0.8571428571428571}
{'index': 43, 'entNoMidRatio': 1.0}
{'index': 44, 'entNoMidRatio': 0.14285714285714285}
{'index': 45, 'entNoMidRatio': 0.4}
{'index': 46, 'entNoMidRatio': 0.6764705882352942}
{'index': 47, 'entNoMidRatio': 0.14285714285714285}
{'index': 51, 'entNoMidRatio': 0.5714285714285714}
{'index': 52, 'entNoMidRatio': 0.2857142857142857}
{'index': 53, 'entNoMidRatio': 0.0}
{'index': 54, 'entNoMidRatio': 0.0}
{'index': 55, 'entNoMidRatio': 0.5}
{'index': 56, 'entNoMidRatio': 0.32}
{'index': 57, 'entNoMidRatio': 0.5714285714285714}
{'index': 58, 'entNoMidRatio': 0.0}
{'index': 59, 'entNoMidRatio': 0.0}
{'index': 60, 'entNoMidRatio': 0.4142857142857143}
{'index': 61, 'entNoMidRatio': 0.5714285714285714}
{'index': 64, 'entNoMidRatio': 0.2857142857142857}
{'index': 66, 'entNoMidRatio': 0.5714285714285714}
{'index': 67, 'entNoMidRatio': 0.42857142857142855}
{'index': 68, 'entNoMidRatio': 0.6666666666666666}
{'index': 69, 'entNoMidRatio': 0.43333333333333335}
{'index': 70, 'entNoMidRatio': 0.0}
{'index': 71, 'entNoMidRatio': 0.5714285714285714}
{'index': 72, 'entNoMidRatio': 0.5714285714285714}
{'index': 73, 'entNoMidRatio': 0.4}
{'index': 74, 'entNoMidRatio': 0.0}
{'index': 75, 'entNoMidRatio': 0.42857142857142855}
{'index': 76, 'entNoMidRatio': 0.7142857142857143}
{'index': 77, 'entNoMidRatio': 0.5081967213114754}
{'index': 78, 'entNoMidRatio': 0.0}
{'index': 79, 'entNoMidRatio': 0.3620689655172414}
{'index': 80, 'entNoMidRatio': 0.7090909090909091}
{'index': 81, 'entNoMidRatio': 0.5833333333333334}
{'index': 82, 'entNoMidRatio': 0.0}
{'index': 83, 'entNoMidRatio': 0.0}
{'index': 84, 'entNoMidRatio': 0.8571428571428571}
{'index': 85, 'entNoMidRatio': 0.25}
{'index': 86, 'entNoMidRatio': 0.42857142857142855}
{'index': 87, 'entNoMidRatio': 0.25}
{'index': 88, 'entNoMidRatio': 0.3333333333333333}
{'index': 89, 'entNoMidRatio': 0.2857142857142857}
{'index': 90, 'entNoMidRatio': 0.7142857142857143}
{'index': 91, 'entNoMidRatio': 0.6}
{'index': 92, 'entNoMidRatio': 0.0}
{'index': 93, 'entNoMidRatio': 0.2857142857142857}
{'index': 94, 'entNoMidRatio': 1.0}
{'index': 95, 'entNoMidRatio': 0.0}
{'index': 96, 'entNoMidRatio': 0.0}
{'index': 97, 'entNoMidRatio': 0.42857142857142855}
{'index': 98, 'entNoMidRatio': 1.0}
{'index': 100, 'entNoMidRatio': 0.2857142857142857}
{'index': 101, 'entNoMidRatio': 0.0}
{'index': 103, 'entNoMidRatio': 0.0}
{'index': 104, 'entNoMidRatio': 0.42857142857142855}
{'index': 105, 'entNoMidRatio': 0.0}
{'index': 106, 'entNoMidRatio': 0.21428571428571427}
{'index': 107, 'entNoMidRatio': 0.5}
{'index': 108, 'entNoMidRatio': 0.14285714285714285}
{'index': 109, 'entNoMidRatio': 0.7142857142857143}
{'index': 111, 'entNoMidRatio': 0.5}
{'index': 112, 'entNoMidRatio': 0.42857142857142855}
{'index': 113, 'entNoMidRatio': 0.25}
{'index': 114, 'entNoMidRatio': 0.6428571428571429}
{'index': 115, 'entNoMidRatio': 0.375}
{'index': 116, 'entNoMidRatio': 0.42857142857142855}
{'index': 118, 'entNoMidRatio': 0.42857142857142855}
{'index': 119, 'entNoMidRatio': 0.7142857142857143}
{'index': 120, 'entNoMidRatio': 0.5}
{'index': 121, 'entNoMidRatio': 1.0}
{'index': 122, 'entNoMidRatio': 0.3333333333333333}
{'index': 123, 'entNoMidRatio': 0.3333333333333333}
{'index': 124, 'entNoMidRatio': 0.75}
{'index': 125, 'entNoMidRatio': 0.14285714285714285}
{'index': 126, 'entNoMidRatio': 0.6086956521739131}
{'index': 127, 'entNoMidRatio': 0.5}
{'index': 128, 'entNoMidRatio': 0.0}
{'index': 129, 'entNoMidRatio': 0.5}
{'index': 130, 'entNoMidRatio': 0.8}
{'index': 131, 'entNoMidRatio': 0.2857142857142857}
{'index': 132, 'entNoMidRatio': 0.14285714285714285}
{'index': 133, 'entNoMidRatio': 0.0}
{'index': 134, 'entNoMidRatio': 0.6666666666666666}
{'index': 135, 'entNoMidRatio': 0.5}
